Today's Date:	20 May 2019	Date of Test:	17 May 2019, 09:09:25 AM
Filename:	AA	Tester Channel:	2
Procedure:	BB	Description:	AA
Comment:	AA Stored @ 25°C Test @ 25° Initial test
Rec	Cycle	Step	Test Time (sec)	Step Time (sec)	Capacity	Energy	Current	Voltage	MD	ES	DPT Time	ACImp/Ohms	DCIR/Ohms	Aux #1	 Units	VAR2	VAR5	VAR8	VAR11	VAR14	
54	1	4	505.356	205.3578	0.099631	0.368776	1.749981	3.717403	C	1	05/17/2019 9:17:50 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
55	1	4	515.3564	215.3582	0.104493	0.38685	1.750057	3.718624	C	1	05/17/2019 9:18:00 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
56	1	4	525.3568	225.3586	0.109354	0.404929	1.749905	3.719692	C	1	05/17/2019 9:18:10 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
57	1	4	535.3572	235.359	0.114215	0.423015	1.749905	3.720912	C	1	05/17/2019 9:18:20 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
58	1	4	545.3576	245.3594	0.119076	0.441105	1.749981	3.721981	C	1	05/17/2019 9:18:30 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
59	1	4	555.358	255.3598	0.123937	0.459201	1.750057	3.723049	C	1	05/17/2019 9:18:40 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
60	1	4	565.3584	265.3602	0.128798	0.477301	1.749981	3.723812	C	1	05/17/2019 9:18:50 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
61	1	4	575.3588	275.3606	0.13366	0.495407	1.749981	3.725185	C	1	05/17/2019 9:19:00 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
62	1	4	585.3638	285.3656	0.138523	0.513526	1.75021	3.725948	C	1	05/17/2019 9:19:10 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
63	1	4	595.3642	295.366	0.143384	0.531642	1.750134	3.727169	C	1	05/17/2019 9:19:20 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
64	1	4	605.3646	305.3664	0.148245	0.549763	1.749828	3.728084	C	1	05/17/2019 9:19:30 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
65	1	4	615.365	315.3668	0.153107	0.567889	1.749905	3.729152	C	1	05/17/2019 9:19:40 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
66	1	4	625.3654	325.3672	0.157968	0.586019	1.749981	3.73022	C	1	05/17/2019 9:19:50 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
67	1	4	635.3658	335.3676	0.162829	0.604156	1.750057	3.731289	C	1	05/17/2019 9:20:00 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
68	1	4	645.3662	345.368	0.16769	0.622296	1.750134	3.732204	C	1	05/17/2019 9:20:10 AM	0.00000	0.00000	25.36041	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
69	1	4	655.3666	355.3684	0.172551	0.640442	1.749905	3.73312	C	1	05/17/2019 9:20:20 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
70	1	4	665.367	365.3688	0.177412	0.658592	1.749905	3.734035	C	1	05/17/2019 9:20:30 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
71	1	4	675.3674	375.3692	0.182274	0.676747	1.749905	3.735256	C	1	05/17/2019 9:20:40 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
72	1	4	685.3678	385.3696	0.187135	0.694907	1.749905	3.736324	C	1	05/17/2019 9:20:50 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
73	1	4	695.3682	395.37	0.191996	0.713073	1.750057	3.73724	C	1	05/17/2019 9:21:00 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
74	1	4	705.3686	405.3704	0.196857	0.731243	1.749828	3.738308	C	1	05/17/2019 9:21:10 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
75	1	4	715.369	415.3708	0.201718	0.749418	1.750134	3.739223	C	1	05/17/2019 9:21:20 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
76	1	4	725.3694	425.3712	0.206579	0.767598	1.749981	3.740444	C	1	05/17/2019 9:21:30 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
77	1	4	735.3698	435.3716	0.211441	0.785783	1.749828	3.741512	C	1	05/17/2019 9:21:40 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
78	1	4	745.3702	445.372	0.216302	0.803973	1.750057	3.742275	C	1	05/17/2019 9:21:50 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
79	1	4	755.3706	455.3724	0.221163	0.822169	1.750134	3.743496	C	1	05/17/2019 9:22:00 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
80	1	4	765.371	465.3728	0.226024	0.840369	1.749905	3.744564	C	1	05/17/2019 9:22:10 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
81	1	4	775.3714	475.3732	0.230885	0.858574	1.749905	3.74548	C	1	05/17/2019 9:22:20 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
82	1	4	785.3718	485.3736	0.235746	0.876784	1.749981	3.746548	C	1	05/17/2019 9:22:30 AM	0.00000	0.00000	25.37567	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
83	1	4	795.3722	495.374	0.240608	0.894999	1.749981	3.747616	C	1	05/17/2019 9:22:40 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
84	1	4	805.3726	505.3744	0.245469	0.913219	1.749905	3.748531	C	1	05/17/2019 9:22:50 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
85	1	4	815.373	515.3748	0.25033	0.931445	1.749905	3.749447	C	1	05/17/2019 9:23:00 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
86	1	4	825.3734	525.3752	0.255191	0.949675	1.749828	3.750668	C	1	05/17/2019 9:23:10 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
87	1	4	835.3738	535.3756	0.260052	0.96791	1.749905	3.751431	C	1	05/17/2019 9:23:20 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
88	1	4	845.3742	545.376	0.264914	0.98615	1.749828	3.752651	C	1	05/17/2019 9:23:30 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
89	1	4	855.3746	555.3764	0.269775	1.004396	1.749905	3.753719	C	1	05/17/2019 9:23:40 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
90	1	4	865.375	565.3768	0.274636	1.022647	1.749905	3.75494	C	1	05/17/2019 9:23:50 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
91	1	4	875.3754	575.3772	0.279497	1.040902	1.749752	3.755856	C	1	05/17/2019 9:24:00 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
92	1	4	885.3758	585.3776	0.284358	1.059163	1.749905	3.756924	C	1	05/17/2019 9:24:10 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
93	1	4	895.3762	595.378	0.289219	1.077429	1.750057	3.757992	C	1	05/17/2019 9:24:20 AM	0.00000	0.00000	25.39093	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
94	1	4	905.3766	605.3784	0.294081	1.0957	1.749981	3.75906	C	1	05/17/2019 9:24:30 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
95	1	4	915.377	615.3788	0.298942	1.113976	1.749752	3.760281	C	1	05/17/2019 9:24:40 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
96	1	4	925.3774	625.3792	0.303803	1.132258	1.749905	3.761196	C	1	05/17/2019 9:24:50 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
97	1	4	935.3778	635.3796	0.308664	1.150544	1.749905	3.762112	C	1	05/17/2019 9:25:00 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
98	1	4	945.3782	645.38	0.313525	1.168835	1.749905	3.76318	C	1	05/17/2019 9:25:10 AM	0.00000	0.00000	25.40618	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
99	1	4	955.3786	655.3804	0.318386	1.187131	1.749981	3.764401	C	1	05/17/2019 9:25:20 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
100	1	4	965.379	665.3808	0.323248	1.205433	1.749828	3.765316	C	1	05/17/2019 9:25:30 AM	0.00000	0.00000	25.42144	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
101	1	4	975.3794	675.3812	0.328109	1.22374	1.749828	3.766384	C	1	05/17/2019 9:25:40 AM	0.00000	0.00000	25.43669	 C  	0.00000	0.00000	0.00000	0.00000	0.00000	
